Query,Response,Category
0x193,ERROR_PROCESS_MODE_NOT_BACKGROUND: The process is not in background processing mode. Switch the process to background mode if necessary.,Process Management
0x1E7,ERROR_INVALID_ADDRESS: An attempt was made to access an invalid address. Verify the address and ensure it is accessible.,Memory Operations
0x1F4,ERROR_USER_PROFILE_LOAD: The user profile cannot be loaded. This might happen due to corruption or missing files related to the user profile. You may need to repair the user profile or restore it from a backup.,User Profile Management
0x216,ERROR_ARITHMETIC_OVERFLOW: An arithmetic result exceeded 32 bits. This indicates a calculation overflow. Check calculations for possible overflows.,Calculation Errors
0x217,ERROR_PIPE_CONNECTED: There is a process on the other end of the pipe. Communication through the pipe has been established.,Pipe Communication
0x218,ERROR_PIPE_LISTENING: The system is waiting for a process to open the other end of the pipe. Ensure the other process is initiated.,Pipe Communication
0x219,ERROR_VERIFIER_STOP: The application verifier found an error in the current process. Review the application logs and correct any errors found by the verifier.,Application Debugging
0x21A,ERROR_ABIOS_ERROR: An error occurred in the ABIOS (Advanced BIOS) subsystem. This may indicate a hardware or BIOS compatibility issue.,Hardware/BIOS
0x21B,ERROR_WX86_WARNING: A warning occurred in the WX86 subsystem which is used for running 16-bit applications in a Windows environment. The warning may relate to compatibility issues or limitations.,Compatibility Issues
0x21C,ERROR_WX86_ERROR: An error occurred in the WX86 subsystem. This could be caused by problems running 16-bit applications or conflicts between the application and the system.,Compatibility Issues
0x21D,ERROR_TIMER_NOT_CANCELED: An attempt to cancel or set a timer with an associated APC routine failed because the thread is not the one that originally set the timer. Ensure the correct thread is used.,Thread Management
0x21E,ERROR_UNWIND: Refers to an unwind exception code indicating a problem during the process of unwinding a function call stack (e.g. during exception handling).,Exception Handling
0x21F,ERROR_BAD_STACK: Indicates an invalid or unaligned stack encountered during an unwind operation suggesting an issue with the thread's stack structure.,Stack Management
0x220,ERROR_INVALID_UNWIND_TARGET: Occurs when an invalid unwind target is encountered during an unwind operation meaning the stack cannot be unwound to the expected point due to corruption or incorrect target.,Exception Handling
0x221,ERROR_INVALID_PORT_ATTRIBUTES: Occurs when invalid object attributes are specified to create or connect to a port using NtCreatePort or NtConnectPort.,Port Communication
0x222,ERROR_PORT_MESSAGE_TOO_LONG: Means that the length of the message passed to NtRequestPort or NtRequestWaitReplyPort exceeds the maximum allowed by the port.,Port Communication
0x223,ERROR_INVALID_QUOTA_LOWER: Occurs when an attempt is made to lower a quota limit below the current usage. You cannot set a quota limit lower than what is currently in use.,Quota Management
0x224,ERROR_DEVICE_ALREADY_ATTACHED: Indicates that an attempt was made to attach to a device that is already attached to another device.,Device Management
0x225,ERROR_INSTRUCTION_MISALIGNMENT: Occurs when an attempt is made to execute an instruction at an unaligned address and the host system does not support unaligned instruction references.,Instruction Handling
0x226,ERROR_PROFILING_NOT_STARTED: Means that profiling was not started before attempting to collect profiling data. Ensure profiling is initiated properly.,Profiling
0x227,ERROR_PROFILING_NOT_STOPPED: Occurs when profiling was not stopped as expected. Ensure that profiling is properly stopped after collection.,Profiling
0x228,ERROR_COULD_NOT_INTERPRET: Indicates that the passed Access Control List (ACL) did not contain the minimum required information making it impossible to interpret.,Access Control
0x229,ERROR_PROFILING_AT_LIMIT: Occurs when the maximum number of active profiling objects has been reached. Stop existing profiling sessions before starting new ones.,Profiling
0x22A,ERROR_CANT_WAIT: Indicates that an operation cannot continue without blocking for I/O meaning the system must wait for I/O operations to complete.,I/O Operations
0x22B,ERROR_CANT_TERMINATE_SELF: Occurs when a thread tries to terminate itself while being the last thread in the current process which is not allowed.,Thread Management
0x22C,ERROR_UNEXPECTED_MM_CREATE_ERR: Refers to an unexpected error from the memory management (MM) system during object creation.,Memory Management
0x22D,ERROR_UNEXPECTED_MM_MAP_ERROR: Is an unexpected error returned by the memory management (MM) system during an object mapping process.,Memory Management
0x22E,ERROR_UNEXPECTED_MM_EXTEND_ERR: Occurs when an MM error happens while extending an object.,Memory Management
0x22F,ERROR_BAD_FUNCTION_TABLE: Occurs when a malformed function table is encountered during an unwind operationtypically from improper exception or stack unwinding handling.,Exception Handling
0x230,ERROR_NO_GUID_TRANSLATION: Means that an attempt to assign protection to a file or directory failed because one of the Security Identifiers (SIDs) in the security descriptor could not be translated into a GUID.,Security Management
0x231,ERROR_INVALID_LDT_SIZE: Occurs when an attempt is made to change the size of the Local Descriptor Table (LDT) but the new size is invalid or not an even number of selectors.,Descriptor Table Management
0x233,ERROR_INVALID_LDT_OFFSET: Indicates that the starting value for LDT information was not an integral multiple of the selector sizewhich is required for proper operation.,Descriptor Table Management
0x234,ERROR_INVALID_LDT_DESCRIPTOR: Happens when an invalid descriptor is provided while setting up LDT descriptors.,Descriptor Table Management
0x235,ERROR_TOO_MANY_THREADS: Occurs when a process has too many threads and the requested action cannot be performed.,Thread Management
0x236,ERROR_THREAD_NOT_IN_PROCESS: Indicates that an attempt was made to operate on a thread within a specific process but the thread is not part of the process.,Process Management
0x237,ERROR_PAGEFILE_QUOTA_EXCEEDED: Occurs when the page file quota is exceededindicating that the system has run out of space allocated for virtual memory paging.,Memory Management
0x238,ERROR_LOGON_SERVER_CONFLICT: Occurs when the Netlogon service cannot start due to a conflict with another running Netlogon service in the domain.,Logon Services
0x239,ERROR_SYNCHRONIZATION_REQUIRED: Means that the SAM (Security Account Manager) database on a Windows Server is out of sync with the version on the Domain Controllerrequiring full synchronization.,Database Synchronization
0x23A,ERROR_NET_OPEN_FAILED: An internal error code used by the Windows LAN Manager Redirector and should not be returned to applications directly.,Network Management
0x23B,ERROR_IO_PRIVILEGE_FAILED: Means that I/O permissions for the process could not be changed likely due to privilege issues.,Privilege Management
0x23C,ERROR_CONTROL_C_EXIT: Indicates that the application terminated as a result of a CTRL+C interruption.,Process Termination
0x23D,ERROR_MISSING_SYSTEMFILE: Indicates that a required system file is either missing or corrupted.,System File Management
0x23E,ERROR_UNHANDLED_EXCEPTION: Occurs when an application encounters an unhandled exception leading to a crash.,Application Error Handling
0x23F,ERROR_APP_INIT_FAILURE: Means that an application was unable to start correctly due to an initialization failure.,Application Initialization
0x240,ERROR_PAGEFILE_CREATE_FAILED: Indicates that the system failed to create a paging filepossibly due to a lack of resources or permissions.,Memory Management
0x241,ERROR_INVALID_IMAGE_HASH: Means that Windows cannot verify the digital signature of a filesuggesting that it may be corrupted or malicious.,Security Management
0x242,ERROR_NO_PAGEFILE: Occurs when no paging file is specified in the system configurationpotentially leading to system instability.,Memory Management
0x243,ERROR_ILLEGAL_FLOAT_CONTEXT: Happens when a real-mode application tries to use floating-point instructions without the necessary hardware.,Floating-Point Handling
0x244,ERROR_NO_EVENT_PAIR: Means that an event pair synchronization operation was performed but no event pair object was associated with the thread.,Synchronization
0x245,ERROR_DOMAIN_CTRLR_CONFIG_ERROR: Indicates that a Windows Server has an incorrect configuration that prevents it from operating correctly as a domain controller.,Domain Controller Configuration
0x246,ERROR_ILLEGAL_CHARACTER: Occurs when an illegal character is encountered in a character stringoften with multi-byte or Unicode character sets.,Character Encoding
0x247,ERROR_UNDEFINED_CHARACTER: Indicates that the Unicode character is not defined in the Unicode character set installed on the system.,Character Encoding
0x248,ERROR_FLOPPY_VOLUME: Indicates that the paging file cannot be created on a floppy diskette.,Disk Management
0x249,ERROR_BIOS_FAILED_TO_CONNECT_INTERRUPT: Occurs when the system BIOS fails to connect an interrupt to the device or bus.,BIOS and Hardware
0x24A,ERROR_BACKUP_CONTROLLER: Indicates that an operation is only allowed for the Primary Domain Controller in the domain.,Domain Controller Management
0x24B,ERROR_MUTANT_LIMIT_EXCEEDED: Occurs when an attempt is made to acquire a mutant beyond its maximum count.,Synchronization
0x24C,ERROR_FS_DRIVER_REQUIRED: Indicates that a volume has been accessed that requires a file system driverbut the required driver has not been loaded.,Driver Management
0x24D,ERROR_CANNOT_LOAD_REGISTRY_FILE: Occurs when the system cannot load the registry hive because it is corruptabsentor not writable.,Registry Management
0x24E,ERROR_DEBUG_ATTACH_FAILED: Happens when an unexpected failure occurs during a DebugActiveProcess requesteither terminating the process or requiring manual handling.,Debugging
0x24F,ERROR_SYSTEM_PROCESS_TERMINATED: Indicates that a system process unexpectedly terminatedcausing the system to shut down.,System Process Management
0x250,ERROR_DATA_NOT_ACCEPTED: Occurs when the TDI client cannot handle the data received during a TDI (Transport Driver Interface) indication.,Network Management
0x251,ERROR_VDM_HARD_ERROR: Refers to an error encountered by the NTVDM (NT Virtual DOS Machine) when running a DOS application.,System Compatibility
0x252,ERROR_DRIVER_CANCEL_TIMEOUT: Means that a driver failed to complete a canceled I/O request in the expected time.,Driver Management
0x253,ERROR_REPLY_MESSAGE_MISMATCH: Occurs when an attempt is made to reply to an LPC message but the client ID does not match the expected thread.,Message Handling
0x254,ERROR_LOST_WRITEBEHIND_DATA: Occurs when data is lost during a delayed write operation potentially due to hardware or network failure.,Data Management
0x255,ERROR_CLIENT_SERVER_PARAMETERS_INVALID: Means that invalid parameters were passed to the server in a client/server shared memory window.,Client/Server Communication
0x256,ERROR_NOT_TINY_STREAM: Occurs when the stream is not classified as a tiny stream as expected.,Stream Management
0x257,ERROR_STACK_OVERFLOW_READ: Indicates that the request needs to be handled by the stack overflow code.,Memory Management
0x258,ERROR_CONVERT_TO_LARGE: Occurs when an allocation operation is handled by retrying after the containing onode is moved or when the extent stream is converted to a large stream.,File System Management
0x259,ERROR_FOUND_OUT_OF_SCOPE: Means that an object was found on the volume but it is out of scope of the handle used for the operation.,File System Management
0x25A,ERROR_ALLOCATE_BUCKET: Occurs when the bucket array must be grown and the transaction should be retried after this operation.,Memory Management
0x25B,ERROR_MARSHALL_OVERFLOW: Indicates that the user/kernel marshalling buffer has overflowed during data marshaling operations.,Data Marshalling
0x25C,ERROR_INVALID_VARIANT: Occurs when the supplied variant structure contains invalid data.,Data Management
0x25D,ERROR_BAD_COMPRESSION_BUFFER: Indicates that the specified buffer contains ill-formed data for compression.,Compression Handling
0x25E,ERROR_AUDIT_FAILED: Occurs when an attempt to generate a security audit fails.,Security Management
0x25F,ERROR_TIMER_RESOLUTION_NOT_SET: Indicates that the timer resolution was not previously set by the current process.,Time Management
0x260,ERROR_INSUFFICIENT_LOGON_INFO: Occurs when there is insufficient account information to log the user on.,User Authentication
0x261,ERROR_BAD_DLL_ENTRYPOINT: Means that the dynamic link library (DLL) is not written correctly resulting in an inconsistent stack pointer.,DLL Management
0x262,ERROR_BAD_SERVICE_ENTRYPOINT: Indicates that the service callback entrypoint is not written correctly leaving the stack pointer inconsistent.,Service Management
0x263,ERROR_IP_ADDRESS_CONFLICT1: Occurs when there is an IP address conflict with another system on the network.,Network Management
0x264,ERROR_IP_ADDRESS_CONFLICT2: Indicates a conflict with another system on the network due to the same IP address.,Network Management
0x265,ERROR_REGISTRY_QUOTA_LIMIT: Means that the system has reached the maximum allowed registry size and additional storage requests will be ignored.,Registry Management
0x266,ERROR_NO_CALLBACK_ACTIVE: Occurs when a callback return system service cannot be executed when no callback is active.,Callback Handling
0x267,ERROR_PWD_TOO_SHORT: Indicates that the provided password is too short to meet the account policy.,Password Management
0x268,ERROR_PWD_TOO_RECENT: Means the account policy prevents frequent password changes to avoid users reverting to a compromised password.,Password Management
0x269,ERROR_PWD_HISTORY_CONFLICT: Indicates that the password change conflicts with the account's password history policy.,Password Management
0x26A,ERROR_UNSUPPORTED_COMPRESSION: Occurs when the specified compression format is unsupported.,Compression Handling
0x26B,ERROR_INVALID_HW_PROFILE: Means the specified hardware profile configuration is invalid.,Hardware Configuration
0x26C,ERROR_INVALID_PLUGPLAY_DEVICE_PATH: Occurs when the specified Plug and Play registry device path is invalid.,Plug and Play Management
0x26D,ERROR_QUOTA_LIST_INCONSISTENT: Occurs when the specified quota list is internally inconsistent with its descriptor.,Quota Management
0x26E,ERROR_EVALUATION_EXPIRATION: Indicates that the evaluation period for Windows has expired and the system will shut down in 1 hour.,System Management
0x26F,ERROR_ILLEGAL_DLL_RELOCATION: Means the system DLL was relocated in memory causing the application to not run properly.,DLL Management
0x270,ERROR_DLL_INIT_FAILED_LOGOFF: Occurs when the application fails to initialize due to the window station shutting down.,Application Initialization
0x271,ERROR_VALIDATE_CONTINUE: Means the validation process needs to continue to the next step.,Validation
0x272,ERROR_NO_MORE_MATCHES: Indicates that there are no more matches for the current index enumeration.,Index Management
0x273,ERROR_RANGE_LIST_CONFLICT: Occurs when a range cannot be added to the range list due to a conflict.,Range Management
0x274,ERROR_SERVER_SID_MISMATCH: Indicates that the server process is running under a SID different from the one required by the client.,Security Management
0x275,ERROR_CANT_ENABLE_DENY_ONLY: Occurs when a group marked as 'deny only' cannot be enabled.,Group Management
0x276,ERROR_FLOAT_MULTIPLE_FAULTS: Indicates multiple floating point faults.,System Error
0x277,ERROR_FLOAT_MULTIPLE_TRAPS: Occurs when multiple floating point traps are encountered.,System Error
0x278,ERROR_NOINTERFACE: Means that the requested interface is not supported.,Interface Management
0x279,ERROR_DRIVER_FAILED_SLEEP: Occurs when a driver does not support standby mode.,Driver Management
0x27A,ERROR_CORRUPT_SYSTEM_FILE: Means the system file has become corrupt and has been replaced.,File System Management
0x27B,ERROR_COMMITMENT_MINIMUM: Indicates that the system is low on virtual memory and is increasing the paging file size.,Memory Management
0x27C,ERROR_PNP_RESTART_ENUMERATION: Occurs when a device is removed causing enumeration to restart.,Plug and Play Management
0x27D,ERROR_SYSTEM_IMAGE_BAD_SIGNATURE: Indicates that the system image is not properly signed and has been replaced with a signed version.,System Security
0x27E,ERROR_PNP_REBOOT_REQUIRED: Means the device requires a reboot to start.,Plug and Play Management
0x27F,ERROR_INSUFFICIENT_POWER: Indicates that there is not enough power to complete the requested operation.,Power Management
0x280,ERROR_MULTIPLE_FAULT_VIOLATION: Occurs when multiple fault violations happen simultaneously.,System Error
0x281,ERROR_SYSTEM_SHUTDOWN: Occurs when the system is in the process of shutting down.,System Management
0x282,ERROR_PORT_NOT_SET: Occurs when an attempt to remove a process's DebugPort fails because no port is associated with the process.,Debugging
0x283,ERROR_DS_VERSION_CHECK_FAILURE: Indicates that the version of Windows is incompatible with the behavior version of the directory forest domain or domain controller.,Directory Services
0x284,ERROR_RANGE_NOT_FOUND: Means that the specified range could not be found in the range list.,Range Management
0x286,ERROR_NOT_SAFE_MODE_DRIVER: Occurs when the driver cannot be loaded because the system is booting into safe mode.,Driver Management
0x287,ERROR_FAILED_DRIVER_ENTRY: Indicates that the driver failed its initialization call.,Driver Management
0x288,ERROR_DEVICE_ENUMERATION_ERROR: Occurs when a device encounters an error while applying power or reading the device configuration.,Device Management
0x289,ERROR_MOUNT_POINT_NOT_RESOLVED: Means the create operation failed because a mount point was not resolved correctly.,Mount Point Management
0x28A,ERROR_INVALID_DEVICE_OBJECT_PARAMETER: Occurs when the device object parameter is invalid or not attached to the specified volume.,Device Management
0x28B,MACHINE_CHECK_ERROR: A Machine Check Error has occurred. Please check the system event log for additional information.,System Error
0x28C,ERROR_DRIVER_DATABASE_ERROR: There was an error [%2] processing the driver database.,Driver Management
0x28D,ERROR_SYSTEM_HIVE_SIZE_LIMIT: System hive size has exceeded its limit.,System Management
0x28E,ERROR_DRIVER_NOT_LOADED: The driver could not be loaded because a previous version of the driver is still in memory.,Driver Management
0x28F,ERROR_VOLUME_SHADOW_COPY_SERVICE: Volume Shadow Copy Service is preparing volume %hs for hibernation.,Volume Shadow Copy
0x290,ERROR_HIBERNATION_FAILED: The system has failed to hibernate (The error code is %hs). Hibernation will be disabled until the system is restarted.,Power Management
0x291,ERROR_PASSWORD_TOO_LONG: The password provided is too long to meet the policy of your user account. Please choose a shorter password.,Password Management
0x299,ERROR_FILE_SYSTEM_LIMITATION: The requested operation could not be completed due to a file system limitation.,File System Management
0x29C,ERROR_ASSERTION_FAILED: An assertion failure has occurred.,System Error
0x29D,ERROR_ACPI_SUBSYSTEM: An error occurred in the ACPI subsystem.,System Error
0x29E,ERROR_WOW_ASSERTION: WOW Assertion Error.,System Error
0x29F,ERROR_MISSING_DEVICE_BIOS: A device is missing in the system BIOS MPS table. This device will not be used. Please contact your system vendor for a system BIOS update.,BIOS Management
0x2A0,ERROR_TRANSLATOR_FAILED: A translator failed to translate resources.,Resource Management
0x2A1,ERROR_IRQ_TRANSLATOR_FAILED: An IRQ translator failed to translate resources.,Resource Management
0x2A2,ERROR_INVALID_CHILD_DEVICE_ID: Driver %2 returned an invalid ID for a child device (%3).,Driver Management
0x2A3,ERROR_KERNEL_DEBUGGER_AWAKENED: The system debugger was awakened by an interrupt.,Debugging
0x2A4,ERROR_HANDLES_CLOSED: Handles to objects have been automatically closed as a result of the requested operation.,Object Management
0x2A5,ERROR_TOO_MUCH_INFORMATION: The specified access control list (ACL) contained more information than was expected.,Security Management
0x2A6,ERROR_TRANSACTION_STATE_EXISTS: The transaction state already exists but the commit was aborted.,Registry Management
0x2A7,ERROR_MEDIA_CHANGED: The media may have changed.,Media Management
0x2A8,ERROR_GUID_SUBSTITUTION: During the translation of a global identifier (GUID) to a Windows security ID (SID)no administratively-defined GUID prefix was found.,Security Management
0x2A9,ERROR_SYMBOLIC_LINK_REACHED: The create operation stopped after reaching a symbolic link.,File System Management
0x2AA,ERROR_LONG_JUMP_EXECUTED: A long jump has been executed.,System Error
0x2AB,ERROR_PNP_QUERY_FAILED: The Plug and Play query operation was not successful.,Plug and Play Management
0x2AC,ERROR_FRAME_CONSOLIDATION_EXECUTED: A frame consolidation has been executed.,System Management
0x2AD,ERROR_REGISTRY_HIVE_RECOVERED: Registry hive (file): %hs was corrupted and it has been recovered. Some data might have been lost.,Registry Management
0x2AE,ERROR_EXECUTABLE_CODE_INSECURITY: The application is attempting to run executable code from the module %hs. This may be insecure.,Security Management
0x2AF,ERROR_EXECUTABLE_CODE_INCOMPATIBILITY: The application is loading executable code from the module %hs. This is secure but may be incompatible with previous releases of the operating system.,Application Compatibility
0x2B0,ERROR_DEBUGGER_HANDLED_EXCEPTION: Debugger did not handle the exception.,Debugging
0x2B1,ERROR_DEBUGGER_REPLY_LATER: Debugger will reply later.,Debugging
0x2B2,ERROR_DEBUGGER_CANNOT_PROVIDE_HANDLE: Debugger cannot provide handle.,Debugging
0x2B3,ERROR_DEBUGGER_TERMINATED_THREAD: Debugger terminated thread.,Debugging
0x2B4,ERROR_DEBUGGER_TERMINATED_PROCESS: Debugger terminated process.,Debugging
0x2B5,ERROR_DEBUGGER_CONTROL_C: Debugger got control C.,Debugging
0x2B6,ERROR_DEBUGGER_PRINTED_EXCEPTION: Debugger printed exception on control C.,Debugging
0x2B7,ERROR_DEBUGGER_RECEIVED_RIP_EXCEPTION: Debugger received RIP exception.,Debugging
0x2B8,ERROR_DEBUGGER_CONTROL_BREAK: Debugger received control break.,Debugging
0x2B9,ERROR_DEBUGGER_COMMAND_COMMUNICATION: Debugger command communication exception.,Debugging
0x2BA,ERROR_OBJECT_EXISTS: An attempt was made to create an object and the object name already existed.,Object Management
0x2BB,THREAD_SUSPENDED: A thread termination occurred while the thread was suspended. The thread was resumed and termination proceeded.,Thread Management
0x2BC,IMAGE_RELOCATED: An image file could not be mapped at the address specified in the image file. Local fixups must be performed on this image.,Image Management
0x2BD,ERROR_RXACT_STATE_CREATED: A specified registry sub-tree transaction state did not yet exist and had to be created.,Registry Management
0x2BE,ERROR_SEGMENT_NOTIFICATION: A virtual DOS machine (VDM) loads/unloads or moves an MS-DOS or Win16 program segment image.,Virtual Machine Management
0x2BF,ERROR_BAD_CURRENT_DIRECTORY: The process cannot switch to the startup current directory. The user can select OK to set the directory to an alternate or CANCEL to exit.,Directory Management
0x2C0,ERROR_FT_READ_RECOVERY_FROM_BACKUP: The NT fault-tolerant file system successfully read data from a redundant copy due to a failure on a member of the fault-tolerant volume.,File System Management
0x2C1,ERROR_FT_WRITE_RECOVERY: The NT fault-tolerant file system successfully wrote a redundant copy of the information after encountering a failure.,File System Management
0x2C2,ERROR_IMAGE_MACHINE_TYPE_MISMATCH: An image file is valid but for a different machine type than the current one.,Image Management
0x2C3,ERROR_RECEIVE_PARTIAL: The network transport returned partial data to the clientand the remaining data will be sent later.,Network Management
0x2C4,ERROR_RECEIVE_EXPEDITED: The network transport returned data marked as expedited by the remote system.,Network Management
0x2C5,ERROR_RECEIVE_PARTIAL_EXPEDITED: The network transport returned partial expedited data to the client with the remaining data to follow.,Network Management
0x2C6,ERROR_EVENT_DONE: The TDI (Transport Driver Interface) event completed successfully.,Event Management
0x2C7,ERROR_EVENT_PENDING: The TDI indication enters the pending state.,Event Management
0x2C8,ERROR_CHECKING_FILE_SYSTEM: A system process is checking the file system on a specified volume.,File System Management
0x2C9,ERROR_FATAL_APP_EXIT: Indicates a fatal application exit with an accompanying message.,Application Management
0x2CA,ERROR_PREDEFINED_HANDLE: The specified registry key is referenced by a predefined handle.,Registry Management
0x2CB,ERROR_WAS_UNLOCKED: A page's protection is changed to 'No Access' and the page is unlocked from memory and process.,Memory Management
0x2CC,ERROR_SERVICE_NOTIFICATION: Indicates a service notification usually accompanied by a specific message.,Service Management
0x2CD,ERROR_WAS_LOCKED: A page to lock was already locked.,Memory Management
0x2CE,ERROR_LOG_HARD_ERROR: An application popup reports a log error with a specified message.,Log Management
0x2CF,ERROR_ALREADY_WIN32: The operation is already in a WIN32-compatible state.,Compatibility Management
0x2D0,ERROR_IMAGE_MACHINE_TYPE_MISMATCH_EXE: Indicates a machine type mismatch for a valid image file.,Image Management
0x2D1,ERROR_NO_YIELD_PERFORMED: A yield execution is performed but no thread is available to run.,Thread Management
0x2D2,ERROR_TIMER_RESUME_IGNORED: The resumable flag to a timer API was ignored.,Timer Management
0x2D3,ERROR_ARBITRATION_UNHANDLED: An arbiter defers arbitration of resources to its parent.,Resource Management
0x2D4,ERROR_CARDBUS_NOT_SUPPORTED: An inserted CardBus device cannot start due to a configuration error.,Device Management
0x2D5,ERROR_MP_PROCESSOR_MISMATCH: CPUs in a multiprocessor system are not the same revision level.,Processor Management
0x2D6,ERROR_HIBERNATED: The system was put into hibernation.,Power Management
0x2D7,ERROR_RESUME_HIBERNATION: The system resumed from hibernation.,Power Management
0x2D8,ERROR_FIRMWARE_UPDATED: The system firmware was updated.,Firmware Management
0x2D9,ERROR_DRIVERS_LEAKING_LOCKED_PAGES: A driver is leaking locked I/O pages degrading system performance.,Driver Management
0x2DA,ERROR_WAKE_SYSTEM: The system has awoken.,Power Management
0x2DB,ERROR_WAIT_1: Refers to a system wait state.,System State
0x2DC,ERROR_WAIT_2: Refers to another system wait state.,System State
0x2DD,ERROR_WAIT_3: Refers to a system wait state.,System State
0x2DE,ERROR_WAIT_63: Refers to a system wait state.,System State
0x2DF,ERROR_ABANDONED_WAIT_0: Indicates an abandoned wait state.,System State
0x2E0,ERROR_ABANDONED_WAIT_63: Indicates an abandoned wait state.,System State
0x2E1,ERROR_USER_APC: Refers to a user asynchronous procedure call (APC).,APC Management
0x2E2,ERROR_KERNEL_APC: Refers to a kernel asynchronous procedure call (APC).,APC Management
0x2E3,ERROR_ALERTED: Indicates the process was alerted.,Process Management
0x2E4,ERROR_ELEVATION_REQUIRED: The requested operation requires elevated privileges.,Security Management
0x2E5,ERROR_REPARSE: Indicates that a reparse operation should be performed as the file name resulted in a symbolic link.,File System Management
0x2E6,ERROR_OPLOCK_BREAK_IN_PROGRESS: Indicates that an open/create operation completed while an oplock break was underway.,File System Management
0x2E7,ERROR_VOLUME_MOUNTED: A new volume has been mounted by the file system.,Volume Management
0x2E8,ERROR_RXACT_COMMITTED: A previously aborted transaction commit has now been completed.,Transaction Management
0x2E9,ERROR_NOTIFY_CLEANUP: A notify change request was completed due to the handle being closed.,Notification Management
0x2EA,ERROR_PRIMARY_TRANSPORT_CONNECT_FAILED: A failure to connect to the remote server on the primary transport but a secondary transport was successful.,Transport Management
0x2EB,ERROR_PAGE_FAULT_TRANSITION: A transition page fault occurred.,Memory Management
0x2EC,ERROR_PAGE_FAULT_DEMAND_ZERO: A demand zero page fault occurred.,Memory Management
0x2ED,ERROR_PAGE_FAULT_COPY_ON_WRITE: A copy-on-write page fault occurred.,Memory Management
0x2EE,ERROR_PAGE_FAULT_GUARD_PAGE: A guard page fault occurred.,Memory Management
0x2EF,ERROR_PAGE_FAULT_PAGING_FILE: A page fault was satisfied by reading from secondary storage.,Memory Management
0x2F0,ERROR_CACHE_PAGE_LOCKED: A cached page was locked during the operation.,Cache Management
0x2F1,ERROR_CRASH_DUMP: A crash dump exists in the paging file.,System Management
0x2F2,ERROR_BUFFER_ALL_ZEROS: The specified buffer contains all zeros.,Buffer Management
0x2F3,ERROR_REPARSE_OBJECT: A reparse operation should be performed due to a symbolic link.,File System Management
0x2F4,ERROR_RESOURCE_REQUIREMENTS_CHANGED: The device's resource requirements have changed after a query-stop.,Resource Management
0x2F5,ERROR_TRANSLATION_COMPLETE: Resources have been translated into the global space and no further translations should be done.,Resource Management
0x2F6,ERROR_NOTHING_TO_TERMINATE: The process being terminated has no threads to terminate.,Process Management
0x2F7,ERROR_PROCESS_NOT_IN_JOB: The specified process is not part of a job.,Job Management
0x2F8,ERROR_PROCESS_IN_JOB: The specified process is part of a job.,Job Management
0x2F9,ERROR_VOLSNAP_HIBERNATE_READY: The system is ready for hibernation after a Volume Shadow Copy Service operation.,Power Management
0x2FA,ERROR_FSFILTER_OP_COMPLETED_SUCCESSFULLY: A file system or filter driver operation was successfully completed.,File System Management
0x2FB,ERROR_INTERRUPT_VECTOR_ALREADY_CONNECTED: The specified interrupt vector is already connected.,Interrupt Management
0x2FC,ERROR_INTERRUPT_STILL_CONNECTED: The specified interrupt vector is still connected.,Interrupt Management
0x2FD,ERROR_WAIT_FOR_OPLOCK: An operation is blocked waiting for an oplock.,File System Management
0x2FE,ERROR_DBG_EXCEPTION_HANDLED: A debugger handled the exception.,Debugger Management
0x2FF,ERROR_DBG_CONTINUE: The debugger continued execution.,Debugger Management
0x300,ERROR_CALLBACK_POP_STACK: A user mode callback exception occurred requiring the kernel callback frame to be removed.,Callback Management
0x301,ERROR_COMPRESSION_DISABLED: Compression is disabled for this volume.,Compression Management
0x302,ERROR_CANTFETCHBACKWARDS: The data provider cannot fetch backwards through a result set.,Data Management
0x303,ERROR_CANTSCROLLBACKWARDS: The data provider cannot scroll backwards through a result set.,Data Management
0x304,ERROR_ROWSNOTRELEASED: Previously fetched data must be released before requesting more data.,Data Management
0x305,ERROR_BAD_ACCESSOR_FLAGS: The data provider could not interpret flags set for a column binding.,Data Management
0x306,ERROR_ERRORS_ENCOUNTERED: One or more errors occurred while processing the request.,Error Management
0x307,ERROR_NOT_CAPABLE: The implementation is not capable of performing the request.,Capability Management
0x308,ERROR_REQUEST_OUT_OF_SEQUENCE: The requested operation is not valid given the current state of the component.,Sequence Management
0x309,ERROR_VERSION_PARSE_ERROR: A version number could not be parsed.,Version Management
0x30A,ERROR_BADSTARTPOSITION: The iterator's start position is invalid.,Iterator Management
0x30B,ERROR_MEMORY_HARDWARE: The hardware reported an uncorrectable memory error.,Hardware Management
0x30C,ERROR_DISK_REPAIR_DISABLED: The operation required self-healing to be enabled but it is not.,Disk Management
0x30D,ERROR_INSUFFICIENT_RESOURCE_FOR_SPECIFIED_SHARED_SECTION_SIZE: The Desktop heap encountered an error while allocating session memory.,Memory Management
0x30E,ERROR_SYSTEM_POWERSTATE_TRANSITION: The system power state is transitioning from one state to another.,Power Management
0x30F,ERROR_SYSTEM_POWERSTATE_COMPLEX_TRANSITION: The system power state is transitioning and may enter an intermediate state.,Power Management
0x310,ERROR_MCA_EXCEPTION: A thread is being dispatched with an MCA exception due to Machine Check Architecture (MCA).,Hardware Management
0x311,ERROR_ACCESS_AUDIT_BY_POLICY: Access to the resource is being monitored by a policy rule.,Security Management
0x312,ERROR_ACCESS_DISABLED_NO_SAFER_UI_BY_POLICY: Access to the resource has been restricted by an administrator via a policy rule.,Security Management
