Query,Response
What does error 0x2AF mean?,The application is loading executable code from the module %hs. This is secure but may be incompatible with previous releases of the operating system. An alternative %hs is available. Should the application use the secure module %hs?
What does error 0x2B0 mean?,Debugger did not handle the exception.
What does error 0x2B1 mean?,Debugger will reply later.
What does error 0x2B2 mean?,Debugger cannot provide handle.
What does error 0x2B3 mean?,Debugger terminated thread.
What does error 0x2B4 mean?,Debugger terminated process.
What does error 0x2B5 mean?,Debugger got control C.
What does error 0x2B6 mean?,Debugger printed exception on control C.
What does error 0x2B7 mean?,Debugger received RIP exception.
What does error 0x2B8 mean?,Debugger received control break.
What does error 0x2B9 mean?,Debugger command communication exception.
What does error 0x2BA mean?,{Object Exists} An attempt was made to create an object and the object name already existed.
What does error 0x2BB mean?,{Thread Suspended} A thread termination occurred while the thread was suspended. The thread was resumed and termination proceeded.
What does error 0x2BC mean?,{Image Relocated} An image file could not be mapped at the address specified in the image file. Local fixups must be performed on this image.
What does error 0x2BD mean?,The error 0x2BD (ERROR_RXACT_STATE_CREATED) indicates that a specified registry sub-tree transaction state did not yet exist and had to be created.
What does error 0x2BE mean?,The error 0x2BE (ERROR_SEGMENT_NOTIFICATION) occurs when a virtual DOS machine (VDM) loads unloads or moves an MS-DOS or Win16 program segment image. An exception is raised for a debugger to track symbols and breakpoints within 16-bit segments.
What does error 0x2BF mean?,The error 0x2BF (ERROR_BAD_CURRENT_DIRECTORY) indicates that the process cannot switch to the startup current directory. The user can select OK to set the directory to an alternate or CANCEL to exit.
What does error 0x2C0 mean?,The error 0x2C0 (ERROR_FT_READ_RECOVERY_FROM_BACKUP) means that the NT fault-tolerant file system successfully read data from a redundant copy due to a failure on a member of the fault-tolerant volume.
What does error 0x2C1 mean?,The error 0x2C1 (ERROR_FT_WRITE_RECOVERY) indicates that the NT fault-tolerant file system successfully wrote a redundant copy of the information after encountering a failure.
What does error 0x2C2 mean?,The error 0x2C2 (ERROR_IMAGE_MACHINE_TYPE_MISMATCH) occurs when an image file is valid but for a different machine type than the current one.
What does error 0x2C3 mean?,The error 0x2C3 (ERROR_RECEIVE_PARTIAL) indicates that the network transport returned partial data to the client and the remaining data will be sent later.
What does error 0x2C4 mean?,The error 0x2C4 (ERROR_RECEIVE_EXPEDITED) means that the network transport returned data marked as expedited by the remote system.
What does error 0x2C5 mean?,The error 0x2C5 (ERROR_RECEIVE_PARTIAL_EXPEDITED) occurs when the network transport returned partial expedited data to the client with the remaining data to follow.
What does error 0x2C6 mean?,The error 0x2C6 (ERROR_EVENT_DONE) indicates that the TDI (Transport Driver Interface) event completed successfully.
What does error 0x2C7 mean?,The error 0x2C7 (ERROR_EVENT_PENDING) occurs when the TDI indication enters the pending state.
What does error 0x2C8 mean?,The error 0x2C8 (ERROR_CHECKING_FILE_SYSTEM) indicates a system process checking the file system on a specified volume.
What does error 0x2C9 mean?,The error 0x2C9 (ERROR_FATAL_APP_EXIT) indicates a fatal application exit with an accompanying message.
What does error 0x2CA mean?,The error 0x2CA (ERROR_PREDEFINED_HANDLE) means the specified registry key is referenced by a predefined handle.
What does error 0x2CB mean?,The error 0x2CB (ERROR_WAS_UNLOCKED) occurs when a page's protection is changed to 'No Access' and the page is unlocked from memory and process.
What does error 0x2CC mean?,The error 0x2CC (ERROR_SERVICE_NOTIFICATION) indicates a service notification usually accompanied by a specific message.
What does error 0x2CD mean?,The error 0x2CD (ERROR_WAS_LOCKED) indicates that one of the pages to lock was already locked.
What does error 0x2CE mean?,The error 0x2CE (ERROR_LOG_HARD_ERROR) occurs when an application popup reports a log error with a specified message.
What does error 0x2CF mean?,The error 0x2CF (ERROR_ALREADY_WIN32) indicates that the operation is already in a WIN32-compatible state.
What does error 0x2D0 mean?,The error 0x2D0 (ERROR_IMAGE_MACHINE_TYPE_MISMATCH_EXE) indicates a machine type mismatch for a valid image file.
What does error 0x2D1 mean?,The error 0x2D1 (ERROR_NO_YIELD_PERFORMED) occurs when a yield execution is performed but no thread is available to run.
What does error 0x2D2 mean?,The error 0x2D2 (ERROR_TIMER_RESUME_IGNORED) means the resumable flag to a timer API was ignored.
What does error 0x2D3 mean?,The error 0x2D3 (ERROR_ARBITRATION_UNHANDLED) occurs when an arbiter defers arbitration of resources to its parent.
What does error 0x2D4 mean?,The error 0x2D4 (ERROR_CARDBUS_NOT_SUPPORTED) indicates that an inserted CardBus device cannot start due to a configuration error.
What does error 0x2D5 mean?,The error 0x2D5 (ERROR_MP_PROCESSOR_MISMATCH) occurs when CPUs in a multiprocessor system are not the same revision level.
What does error 0x2D6 mean?,The error 0x2D6 (ERROR_HIBERNATED) indicates that the system was put into hibernation.
What does error 0x2D7 mean?,The error 0x2D7 (ERROR_RESUME_HIBERNATION) means the system resumed from hibernation.
What does error 0x2D8 mean?,The error 0x2D8 (ERROR_FIRMWARE_UPDATED) indicates that the system firmware was updated.
What does error 0x2D9 mean?,The error 0x2D9 (ERROR_DRIVERS_LEAKING_LOCKED_PAGES) occurs when a driver is leaking locked I/O pages degrading system performance.
What does error 0x2DA mean?,The error 0x2DA (ERROR_WAKE_SYSTEM) indicates that the system has awoken.
What does error 0x2DB mean?,The error 0x2DB (ERROR_WAIT_1) refers to a system wait state.
What does error 0x2DC mean?,The error 0x2DC (ERROR_WAIT_2) refers to another system wait state.
What does error 0x2DD mean?,The error 0x2DD (ERROR_WAIT_3) refers to a system wait state.
What does error 0x2DE mean?,The error 0x2DE (ERROR_WAIT_63) refers to a system wait state.
What does error 0x2DF mean?,The error 0x2DF (ERROR_ABANDONED_WAIT_0) indicates an abandoned wait state.
What does error 0x2E0 mean?,The error 0x2E0 (ERROR_ABANDONED_WAIT_63) indicates an abandoned wait state.
What does error 0x2E1 mean?,The error 0x2E1 (ERROR_USER_APC) refers to a user asynchronous procedure call (APC).
What does error 0x2E2 mean?,The error 0x2E2 (ERROR_KERNEL_APC) refers to a kernel asynchronous procedure call (APC).
What does error 0x2E3 mean?,The error 0x2E3 (ERROR_ALERTED) indicates the process was alerted.
What does error 0x2E4 mean?,The error 0x2E4 (ERROR_ELEVATION_REQUIRED) indicates that the requested operation requires elevated privileges.
What does error 0x2E5 mean?,The error 0x2E5 (ERROR_REPARSE) indicates that a reparse operation should be performed as the file name resulted in a symbolic link.
What does error 0x2E6 mean?,The error 0x2E6 (ERROR_OPLOCK_BREAK_IN_PROGRESS) indicates that an open/create operation completed while an oplock break was underway.
What does error 0x2E7 mean?,The error 0x2E7 (ERROR_VOLUME_MOUNTED) indicates a new volume has been mounted by the file system.
What does error 0x2E8 mean?,The error 0x2E8 (ERROR_RXACT_COMMITTED) indicates that a previously aborted transaction commit has now been completed.
What does error 0x2E9 mean?,The error 0x2E9 (ERROR_NOTIFY_CLEANUP) indicates a notify change request was completed due to the handle being closed.
What does error 0x2EA mean?,The error 0x2EA (ERROR_PRIMARY_TRANSPORT_CONNECT_FAILED) indicates a failure to connect to the remote server on the primary transport but a secondary transport was successful.
What does error 0x2EB mean?,The error 0x2EB (ERROR_PAGE_FAULT_TRANSITION) indicates a transition page fault occurred.
What does error 0x2EC mean?,The error 0x2EC (ERROR_PAGE_FAULT_DEMAND_ZERO) indicates a demand zero page fault occurred.
What does error 0x2ED mean?,The error 0x2ED (ERROR_PAGE_FAULT_COPY_ON_WRITE) indicates a copy-on-write page fault occurred.
What does error 0x2EE mean?,The error 0x2EE (ERROR_PAGE_FAULT_GUARD_PAGE) indicates a guard page fault occurred.
What does error 0x2EF mean?,The error 0x2EF (ERROR_PAGE_FAULT_PAGING_FILE) indicates a page fault was satisfied by reading from secondary storage.
What does error 0x2F0 mean?,The error 0x2F0 (ERROR_CACHE_PAGE_LOCKED) indicates a cached page was locked during the operation.
What does error 0x2F1 mean?,The error 0x2F1 (ERROR_CRASH_DUMP) indicates a crash dump exists in the paging file.
What does error 0x2F2 mean?,The error 0x2F2 (ERROR_BUFFER_ALL_ZEROS) indicates the specified buffer contains all zeros.
What does error 0x2F3 mean?,The error 0x2F3 (ERROR_REPARSE_OBJECT) indicates a reparse operation should be performed due to a symbolic link.
What does error 0x2F4 mean?,The error 0x2F4 (ERROR_RESOURCE_REQUIREMENTS_CHANGED) indicates that the device's resource requirements have changed after a query-stop.
What does error 0x2F5 mean?,The error 0x2F5 (ERROR_TRANSLATION_COMPLETE) indicates resources have been translated into the global space and no further translations should be done.
What does error 0x2F6 mean?,The error 0x2F6 (ERROR_NOTHING_TO_TERMINATE) indicates the process being terminated has no threads to terminate.
What does error 0x2F7 mean?,The error 0x2F7 (ERROR_PROCESS_NOT_IN_JOB) indicates the specified process is not part of a job.
What does error 0x2F8 mean?,The error 0x2F8 (ERROR_PROCESS_IN_JOB) indicates the specified process is part of a job.
What does error 0x2F9 mean?,The error 0x2F9 (ERROR_VOLSNAP_HIBERNATE_READY) indicates the system is ready for hibernation after a Volume Shadow Copy Service operation.
What does error 0x2FA mean?,The error 0x2FA (ERROR_FSFILTER_OP_COMPLETED_SUCCESSFULLY) indicates a file system or filter driver operation was successfully completed.
What does error 0x2FB mean?,The error 0x2FB (ERROR_INTERRUPT_VECTOR_ALREADY_CONNECTED) indicates the specified interrupt vector is already connected.
What does error 0x2FC mean?,The error 0x2FC (ERROR_INTERRUPT_STILL_CONNECTED) indicates the specified interrupt vector is still connected.
What does error 0x2FD mean?,The error 0x2FD (ERROR_WAIT_FOR_OPLOCK) indicates an operation is blocked waiting for an oplock.
What does error 0x2FE mean?,The error 0x2FE (ERROR_DBG_EXCEPTION_HANDLED) indicates a debugger handled the exception.
What does error 0x2FF mean?,The error 0x2FF (ERROR_DBG_CONTINUE) indicates the debugger continued execution.
What does error 0x300 mean?,The error 0x300 (ERROR_CALLBACK_POP_STACK) indicates a user mode callback exception occurred requiring the kernel callback frame to be removed.
What does error 0x301 mean?,The error 0x301 (ERROR_COMPRESSION_DISABLED) indicates compression is disabled for this volume.
What does error 0x302 mean?,The error 0x302 (ERROR_CANTFETCHBACKWARDS) indicates the data provider cannot fetch backwards through a result set.
What does error 0x303 mean?,The error 0x303 (ERROR_CANTSCROLLBACKWARDS) indicates the data provider cannot scroll backwards through a result set.
What does error 0x304 mean?,The error 0x304 (ERROR_ROWSNOTRELEASED) indicates previously fetched data must be released before requesting more data.
What does error 0x305 mean?,The error 0x305 (ERROR_BAD_ACCESSOR_FLAGS) indicates the data provider could not interpret flags set for a column binding.
What does error 0x306 mean?,The error 0x306 (ERROR_ERRORS_ENCOUNTERED) indicates one or more errors occurred while processing the request.
What does error 0x307 mean?,The error 0x307 (ERROR_NOT_CAPABLE) indicates the implementation is not capable of performing the request.
What does error 0x308 mean?,The error 0x308 (ERROR_REQUEST_OUT_OF_SEQUENCE) indicates the requested operation is not valid given the current state of the component.
What does error 0x309 mean?,The error 0x309 (ERROR_VERSION_PARSE_ERROR) indicates a version number could not be parsed.
What does error 0x30A mean?,The error 0x30A (ERROR_BADSTARTPOSITION) indicates the iterator's start position is invalid.
What does error 0x30B mean?,The error 0x30B (ERROR_MEMORY_HARDWARE) indicates the hardware reported an uncorrectable memory error.
What does error 0x30C mean?,The error 0x30C (ERROR_DISK_REPAIR_DISABLED) indicates the operation required self-healing to be enabled but it is not.
What does error 0x30D mean?,The error 0x30D (ERROR_INSUFFICIENT_RESOURCE_FOR_SPECIFIED_SHARED_SECTION_SIZE) indicates that the Desktop heap encountered an error while allocating session memory. Check the system event log for more information.
What does error 0x30E mean?,The error 0x30E (ERROR_SYSTEM_POWERSTATE_TRANSITION) indicates the system power state is transitioning from one state to another.
What does error 0x30F mean?,The error 0x30F (ERROR_SYSTEM_POWERSTATE_COMPLEX_TRANSITION) indicates the system power state is transitioning and may enter an intermediate state.
What does error 0x310 mean?,The error 0x310 (ERROR_MCA_EXCEPTION) indicates a thread is being dispatched with an MCA exception due to Machine Check Architecture (MCA).
What does error 0x311 mean?,The error 0x311 (ERROR_ACCESS_AUDIT_BY_POLICY) indicates access to the resource is being monitored by a policy rule.
What does error 0x312 mean?,The error 0x312 (ERROR_ACCESS_DISABLED_NO_SAFER_UI_BY_POLICY) indicates access to the resource has been restricted by an administrator via a policy rule.
What does error 0x313 mean?,The error 0x313 (ERROR_ABANDON_HIBERFILE) indicates a valid hibernation file has been invalidated and should be abandoned.
What does error 0x314 mean?,The error 0x314 (ERROR_LOST_WRITEBEHIND_DATA_NETWORK_DISCONNECTED) indicates delayed write failure due to network connectivity issues. Try saving the file elsewhere.
What does error 0x315 mean?,The error 0x315 (ERROR_LOST_WRITEBEHIND_DATA_NETWORK_SERVER_ERROR) indicates delayed write failure due to a server error. Try saving the file elsewhere.
What does error 0x316 mean?,The error 0x316 (ERROR_LOST_WRITEBEHIND_DATA_LOCAL_DISK_ERROR) indicates delayed write failure due to a device being removed or the media being write-protected.
What does error 0x317 mean?,The error 0x317 (ERROR_BAD_MCFG_TABLE) indicates device resource conflicts with the MCFG table.
What does error 0x318 mean?,The error 0x318 (ERROR_DISK_REPAIR_REDIRECTED) indicates the volume repair must be scheduled for offline mode.
What does error 0x319 mean?,The error 0x319 (ERROR_DISK_REPAIR_UNSUCCESSFUL) indicates the volume repair operation was unsuccessful.
What does error 0x31A mean?,The error 0x31A (ERROR_CORRUPT_LOG_OVERFULL) indicates a volume corruption log is full preventing further logging.
What does error 0x31B mean?,The error 0x31B (ERROR_CORRUPT_LOG_CORRUPTED) indicates a corrupted volume corruption log. The volume may need to be scanned.
What does error 0x31C mean?,The error 0x31C (ERROR_CORRUPT_LOG_UNAVAILABLE) indicates the volume corruption log is unavailable.
What does error 0x31D mean?,The error 0x31D (ERROR_CORRUPT_LOG_DELETED_FULL) indicates a corruption log was deleted while still containing records. The volume must be scanned.
What does error 0x31E mean?,The error 0x31E (ERROR_CORRUPT_LOG_CLEARED) indicates a corruption log was cleared by chkdsk and no longer contains real corruptions.
What does error 0x31F mean?,The error 0x31F (ERROR_ORPHAN_NAME_EXHAUSTED) indicates orphaned files exist on the volume but could not be recovered due to naming limits. Files must be moved from the recovery directory.
What does error 0x320 mean?,The error 0x320 (ERROR_OPLOCK_SWITCHED_TO_NEW_HANDLE) indicates the oplock was switched to a different handle.
What does error 0x321 mean?,The error 0x321 (ERROR_CANNOT_GRANT_REQUESTED_OPLOCK) indicates the requested oplock level cannot be granted. A lower level may be available.
What does error 0x322 mean?,The error 0x322 (ERROR_CANNOT_BREAK_OPLOCK) indicates the operation cannot proceed without breaking an oplock and the caller has requested that oplocks not be broken.
What does error 0x323 mean?,The error 0x323 (ERROR_OPLOCK_HANDLE_CLOSED) indicates the handle associated with the oplock has been closed breaking the oplock.
What does error 0x324 mean?,The error 0x324 (ERROR_NO_ACE_CONDITION) indicates the specified access control entry (ACE) does not contain a condition.
What does error 0x325 mean?,The error 0x325 (ERROR_INVALID_ACE_CONDITION) indicates the specified access control entry (ACE) contains an invalid condition.
What does error 0x326 mean?,The error 0x326 (ERROR_FILE_HANDLE_REVOKED) indicates access to the specified file handle has been revoked.
What does error 0x327 mean?,The error 0x327 (ERROR_IMAGE_AT_DIFFERENT_BASE) indicates an image file was mapped at a different address but fixups will still be applied.
What does error 0x3E2 mean?,The error 0x3E2 (ERROR_EA_ACCESS_DENIED) indicates access to the extended attribute was denied.
What does error 0x3E3 mean?,The error 0x3E3 (ERROR_OPERATION_ABORTED) indicates the I/O operation was aborted due to a thread exit or application request.
What does error 0x3E4 mean?,The error 0x3E4 (ERROR_IO_INCOMPLETE) indicates an overlapped I/O event is not in a signaled state.
What does error 0x3E5 mean?,The error 0x3E5 (ERROR_IO_PENDING) indicates an overlapped I/O operation is in progress.
What does error 0x3E6 mean?,The error 0x3E6 (ERROR_NOACCESS) indicates invalid access to a memory location.
What does error 0x3E7 mean?,The error 0x3E7 (ERROR_SWAPERROR) indicates an error occurred during an in-page operation.
What does error 0x4E0 mean?,The error 0x4E0 (ERROR_NO_MORE_DEVICES) indicates there are no more local devices available. Check if additional devices can be freed.
What does error 0x4E1 mean?,The error 0x4E1 (ERROR_NO_SUCH_SITE) indicates that the specified site does not exist.
What does error 0x4E2 mean?,The error 0x4E2 (ERROR_DOMAIN_CONTROLLER_EXISTS) indicates that a domain controller with the specified name already exists.
What does error 0x4E3 mean?,The error 0x4E3 (ERROR_ONLY_IF_CONNECTED) means the operation is supported only when connected to the server.
What does error 0x4E4 mean?,The error 0x4E4 (ERROR_OVERRIDE_NOCHANGES) means that the group policy framework should call the extension even if there are no changes.
What does error 0x4E5 mean?,The error 0x4E5 (ERROR_BAD_USER_PROFILE) indicates that the specified user does not have a valid profile.
What does error 0x4E6 mean?,The error 0x4E6 (ERROR_NOT_SUPPORTED_ON_SBS) means that the operation is not supported on a computer running Windows Server 2003 for Small Business Server.
What does error 0x4E7 mean?,The error 0x4E7 (ERROR_SERVER_SHUTDOWN_IN_PROGRESS) indicates that the server machine is shutting down.
What does error 0x4E8 mean?,The error 0x4E8 (ERROR_HOST_DOWN) indicates that the remote system is not available.
What does error 0x4E9 mean?,The error 0x4E9 (ERROR_NON_ACCOUNT_SID) indicates that the security identifier provided is not from an account domain.
What does error 0x4EA mean?,The error 0x4EA (ERROR_NON_DOMAIN_SID) means that the security identifier provided does not have a domain component.
What does error 0x4EB mean?,The error 0x4EB (ERROR_APPHELP_BLOCK) means the AppHelp dialog was canceled preventing the application from starting.
What does error 0x4EC mean?,The error 0x4EC (ERROR_ACCESS_DISABLED_BY_POLICY) means this program is blocked by group policy.
What does error 0x4ED mean?,The error 0x4ED (ERROR_REG_NAT_CONSUMPTION) indicates a program attempt to use an invalid register value.
What does error 0x4EE mean?,The error 0x4EE (ERROR_CSCSHARE_OFFLINE) means the share is currently offline or does not exist.
What does error 0x4EF mean?,The error 0x4EF (ERROR_PKINIT_FAILURE) means the Kerberos protocol encountered an error during smartcard logon.
What does error 0x4F0 mean?,The error 0x4F0 (ERROR_SMARTCARD_SUBSYSTEM_FAILURE) indicates the Kerberos protocol encountered an error in the smartcard subsystem.
What does error 0x4F1 mean?,The error 0x4F1 (ERROR_DOWNGRADE_DETECTED) means the system cannot contact a domain controller to service the authentication request.
What does error 0x4F7 mean?,The error 0x4F7 (ERROR_MACHINE_LOCKED) means the machine is locked and cannot be shut down without the force option.
What does error 0x4F9 mean?,The error 0x4F9 (ERROR_CALLBACK_SUPPLIED_INVALID_DATA) indicates an application-defined callback gave invalid data.
What does error 0x4FA mean?,The error 0x4FA (ERROR_SYNC_FOREGROUND_REFRESH_REQUIRED) means the group policy framework should call the extension in the synchronous foreground policy refresh.
What does error 0x4FB mean?,The error 0x4FB (ERROR_DRIVER_BLOCKED) means this driver has been blocked from loading.
What does error 0x4FC mean?,The error 0x4FC (ERROR_INVALID_IMPORT_OF_NON_DLL) indicates a DLL referenced a module that is neither a DLL nor the process's executable image.
What does error 0x4FD mean?,The error 0x4FD (ERROR_ACCESS_DISABLED_WEBBLADE) means Windows cannot open the program since it has been disabled.
What does error 0x4FE mean?,The error 0x4FE (ERROR_ACCESS_DISABLED_WEBBLADE_TAMPER) means the program cannot open because the license enforcement system has been tampered with.
What does error 0x4FF mean?,The error 0x4FF (ERROR_RECOVERY_FAILURE) indicates that a transaction recovery failed.
What does error 0x500 mean?,The error 0x500 (ERROR_ALREADY_FIBER) means the current thread has already been converted to a fiber.
What does error 0x501 mean?,The error 0x501 (ERROR_ALREADY_THREAD) indicates the current thread has already been converted from a fiber.
What does error 0x502 mean?,The error 0x502 (ERROR_STACK_BUFFER_OVERRUN) means the system detected an overrun of a stack-based buffer which could allow a malicious user to gain control.
What does error 0x503 mean?,The error 0x503 (ERROR_PARAMETER_QUOTA_EXCEEDED) means the data present in one of the parameters is more than the function can handle.
What does error 0x547 mean?,The error 0x547 (ERROR_CANT_ACCESS_DOMAIN_INFO) indicates that configuration information could not be read from the domain controller either because the machine is unavailable or access has been denied.
What does error 0x548 mean?,The error 0x548 (ERROR_INVALID_SERVER_STATE) means the security account manager (SAM) or local security authority (LSA) server was in the wrong state to perform the security operation.
What does error 0x549 mean?,The error 0x549 (ERROR_INVALID_DOMAIN_STATE) means the domain was in the wrong state to perform the security operation.
What does error 0x54A mean?,The error 0x54A (ERROR_INVALID_DOMAIN_ROLE) means this operation is only allowed for the Primary Domain Controller of the domain.
What does error 0x54B mean?,The error 0x54B (ERROR_NO_SUCH_DOMAIN) means the specified domain either does not exist or could not be contacted.
What does error 0x54C mean?,The error 0x54C (ERROR_DOMAIN_EXISTS) means the specified domain already exists.
What does error 0x54D mean?,The error 0x54D (ERROR_DOMAIN_LIMIT_EXCEEDED) means an attempt was made to exceed the limit on the number of domains per server.
What does error 0x54E mean?,The error 0x54E (ERROR_INTERNAL_DB_CORRUPTION) indicates that a catastrophic media failure or a data structure corruption on the disk occurred.
What does error 0x54F mean?,The error 0x54F (ERROR_INTERNAL_ERROR) means an internal error occurred.
What does error 0x550 mean?,The error 0x550 (ERROR_GENERIC_NOT_MAPPED) indicates generic access types were contained in an access mask which should already be mapped to nongeneric types.
What does error 0x551 mean?,The error 0x551 (ERROR_BAD_DESCRIPTOR_FORMAT) means a security descriptor is not in the correct format (absolute or self-relative).
What does error 0x552 mean?,The error 0x552 (ERROR_NOT_LOGON_PROCESS) means the requested action is restricted for use by logon processes only and the calling process has not registered as a logon process.
What does error 0x553 mean?,The error 0x553 (ERROR_LOGON_SESSION_EXISTS) indicates a new logon session cannot be started with an ID that is already in use.
What does error 0x554 mean?,The error 0x554 (ERROR_NO_SUCH_PACKAGE) means a specified authentication package is unknown.
What does error 0x555 mean?,The error 0x555 (ERROR_BAD_LOGON_SESSION_STATE) means the logon session is not in a state that is consistent with the requested operation.
What does error 0x556 mean?,The error 0x556 (ERROR_LOGON_SESSION_COLLISION) indicates the logon session ID is already in use.
What does error 0x557 mean?,The error 0x557 (ERROR_INVALID_LOGON_TYPE) means a logon request contained an invalid logon type value.
What does error 0x558 mean?,The error 0x558 (ERROR_CANNOT_IMPERSONATE) indicates that impersonation using a named pipe cannot occur until data has been read from that pipe.
What does error 0x559 mean?,The error 0x559 (ERROR_RXACT_INVALID_STATE) means the transaction state of a registry subtree is incompatible with the requested operation.
What does error 0x55A mean?,The error 0x55A (ERROR_RXACT_COMMIT_FAILURE) indicates an internal security database corruption has been encountered.
What does error 0x55B mean?,The error 0x55B (ERROR_SPECIAL_ACCOUNT) means this operation cannot be performed on built-in accounts.
What does error 0x55C mean?,The error 0x55C (ERROR_SPECIAL_GROUP) means this operation cannot be performed on this built-in special group.
What does error 0x55D mean?,The error 0x55D (ERROR_SPECIAL_USER) means this operation cannot be performed on this built-in special user.
What does error 0x55E mean?,The error 0x55E (ERROR_MEMBERS_PRIMARY_GROUP) means the user cannot be removed from a group because the group is currently the user's primary group.
What does error 0x55F mean?,The error 0x55F (ERROR_TOKEN_ALREADY_IN_USE) means the token is already in use as a primary token.
What does error 0x560 mean?,The error 0x560 (ERROR_NO_SUCH_ALIAS) means the specified local group does not exist.
What does error 0x561 mean?,The error 0x561 (ERROR_MEMBER_NOT_IN_ALIAS) means the specified account name is not a member of the group.
What does error 0x562 mean?,The error 0x562 (ERROR_MEMBER_IN_ALIAS) means the specified account name is already a member of the group.
What does error 0x563 mean?,The error 0x563 (ERROR_ALIAS_EXISTS) means the specified local group already exists.
What does error 0x564 mean?,The error 0x564 (ERROR_LOGON_NOT_GRANTED) means logon failure: the user has not been granted the requested logon type at this computer.
What does error 0x565 mean?,The error 0x565 (ERROR_TOO_MANY_SECRETS) means the maximum number of secrets that may be stored in a single system has been exceeded.
What does error 0x566 mean?,The error 0x566 (ERROR_SECRET_TOO_LONG) indicates the length of a secret exceeds the maximum length allowed.
What does error 0x567 mean?,The error 0x567 (ERROR_INTERNAL_DB_ERROR) means the local security authority database contains an internal inconsistency.
What does error 0x568 mean?,The error 0x568 (ERROR_TOO_MANY_CONTEXT_IDS) means that during a logon attempt the user's security context accumulated too many security IDs.
What does error 0x569 mean?,The error 0x569 (ERROR_LOGON_TYPE_NOT_GRANTED) indicates logon failure: the user has not been granted the requested logon type at this computer.
What does error 0x56A mean?,The error 0x56A (ERROR_NT_CROSS_ENCRYPTION_REQUIRED) means a cross-encrypted password is necessary to change a user password.
What does error 0x56B mean?,The error 0x56B (ERROR_NO_SUCH_MEMBER) means a member could not be added to or removed from the local group because the member does not exist.
What does error 0x56C mean?,The error 0x56C (ERROR_INVALID_MEMBER) means a new member could not be added to a local group because the member has the wrong account type.
What does error 0x56D mean?,The error 0x56D (ERROR_TOO_MANY_SIDS) indicates that too many security IDs have been specified.
What does error 0x56E mean?,The error 0x56E (ERROR_LM_CROSS_ENCRYPTION_REQUIRED) means a cross-encrypted password is necessary to change this user password.
What does error 0x56F mean?,The error 0x56F (ERROR_NO_INHERITANCE) indicates an ACL contains no inheritable components.
What does error 0x570 mean?,The error 0x570 (ERROR_FILE_CORRUPT) means the file or directory is corrupted and unreadable.
What does error 0x571 mean?,The error 0x571 (ERROR_DISK_CORRUPT) indicates the disk structure is corrupted and unreadable.
What does error 0x572 mean?,The error 0x572 (ERROR_NO_USER_SESSION_KEY) means there is no user session key for the specified logon session.
What does error 0x573 mean?,The error 0x573 (ERROR_LICENSE_QUOTA_EXCEEDED) means the service being accessed is licensed for a particular number of connections and no more connections can be made.
What does error 0x574 mean?,The error 0x574 (ERROR_WRONG_TARGET_NAME) means the target account name is incorrect.
What does error 0x575 mean?,The error 0x575 (ERROR_MUTUAL_AUTH_FAILED) indicates mutual authentication failed. The server's password is out of date at the domain controller.
What does error 0x576 mean?,The error 0x576 (ERROR_TIME_SKEW) means there is a time and/or date difference between the client and server.
What does error 0x577 mean?,The error 0x577 (ERROR_CURRENT_DOMAIN_NOT_ALLOWED) means this operation cannot be performed on the current domain.
What does error 0x578 mean?,The error 0x578 (ERROR_INVALID_WINDOW_HANDLE) means the window handle is invalid.
What does error 0x579 mean?,The error 0x579 (ERROR_INVALID_MENU_HANDLE) means the menu handle is invalid.
What does error 0x57A mean?,The error 0x57A (ERROR_INVALID_CURSOR_HANDLE) means the cursor handle is invalid.
What does error 0x57B mean?,The error 0x57B (ERROR_INVALID_ACCEL_HANDLE) means the accelerator table handle is invalid.
What does error 0x57C mean?,The error 0x57C (ERROR_INVALID_HOOK_HANDLE) means the hook handle is invalid.
What does error 0x57D mean?,The error 0x57D (ERROR_INVALID_DWP_HANDLE) means the handle to a multiple-window position structure is invalid.
What does error 0x57E mean?,The error 0x57E (ERROR_TLW_WITH_WSCHILD) means a top-level child window cannot be created.
What does error 0x57F mean?,The error 0x57F (ERROR_CANNOT_FIND_WND_CLASS) means the window class cannot be found.
What does error 0x580 mean?,The error 0x580 (ERROR_WINDOW_OF_OTHER_THREAD) means the window is invalid because it belongs to another thread.
What does error 0x581 mean?,The error 0x581 (ERROR_HOTKEY_ALREADY_REGISTERED) means the hot key is already registered.
What does error 0x582 mean?,The error 0x582 (ERROR_CLASS_ALREADY_EXISTS) means the class already exists.
What does error 0x583 mean?,The error 0x583 (ERROR_CLASS_DOES_NOT_EXIST) means the class does not exist.
What does error 0x584 mean?,The error 0x584 (ERROR_CLASS_HAS_WINDOWS) means the class still has open windows.
What does error 0x585 mean?,The error 0x585 (ERROR_INVALID_INDEX) means the index is invalid.
What does error 0x586 mean?,The error 0x586 (ERROR_INVALID_ICON_HANDLE) means the icon handle is invalid.
What does error 0x587 mean?,The error 0x587 (ERROR_PRIVATE_DIALOG_INDEX) means using private DIALOG window words.
What does error 0x588 mean?,The error 0x588 (ERROR_LISTBOX_ID_NOT_FOUND) means the list box identifier was not found.
What does error 0x589 mean?,The error 0x589 (ERROR_NO_WILDCARD_CHARACTERS) means no wildcards were found.
What does error 0x58A mean?,The error 0x58A (ERROR_CLIPBOARD_NOT_OPEN) means the thread does not have a clipboard open.
